Season,Team,conference,PreRank,PostRank,Change,Status
2014,Alabama,SEC,2,4,-2,Properly Rated
2014,Arizona,Pac-12,,19,16,Underrated
2014,Arizona State,Pac-12,19,12,7,Underrated
2014,Auburn,SEC,6,22,-16,Overrated
2014,Baylor,Big 12,10,7,3,Properly Rated
2014,Boise State,Mountain West,,16,19,Underrated
2014,Clemson,ACC,16,15,1,Properly Rated
2014,Florida State,ACC,1,5,-4,Properly Rated
2014,Georgia,SEC,12,9,3,Properly Rated
2014,Georgia Tech,ACC,,8,27,Very Underrated
2014,Kansas State,Big 12,20,18,2,Properly Rated
2014,LSU,SEC,13,,-22,Very Overrated
2014,Louisville,ACC,,24,11,Underrated
2014,Marshall,Conference USA,,23,12,Underrated
2014,Memphis,American,,25,10,Underrated
2014,Michigan State,Big Ten,8,6,2,Properly Rated
2014,Mississippi State,SEC,,11,24,Very Underrated
2014,Missouri,SEC,24,14,10,Underrated
2014,Nebraska,Big Ten,22,,-13,Overrated
2014,North Carolina,ACC,23,,-12,Overrated
2014,Notre Dame,Independent,17,,-18,Overrated
2014,Ohio State,Big Ten,5,1,4,Properly Rated
2014,Oklahoma,Big 12,4,,-31,Very Overrated
2014,Ole Miss,SEC,18,17,1,Properly Rated
2014,Oregon,Pac-12,3,2,1,Properly Rated
2014,South Carolina,SEC,9,,-26,Very Overrated
2014,Stanford,Pac-12,11,,-24,Very Overrated
2014,TCU,Big 12,,3,32,Very Underrated
2014,Texas A&M,SEC,21,,-14,Overrated
2014,UCLA,Pac-12,7,10,-3,Properly Rated
2014,USC,Pac-12,15,20,-5,Properly Rated
2014,Utah,Pac-12,,21,14,Underrated
2014,Washington,Pac-12,25,,-10,Overrated
2014,Wisconsin,Big Ten,14,13,1,Properly Rated
2015,Alabama,SEC,3,1,2,Properly Rated
2015,Arizona,Pac-12,22,,-13,Overrated
2015,Arizona State,Pac-12,15,,-20,Overrated
2015,Arkansas,SEC,18,,-17,Overrated
2015,Auburn,SEC,6,,-29,Very Overrated
2015,Baylor,Big 12,4,13,-9,Overrated
2015,Boise State,Mountain West,23,,-12,Overrated
2015,Clemson,ACC,12,2,10,Underrated
2015,Florida,SEC,,25,10,Underrated
2015,Florida State,ACC,10,14,-4,Properly Rated
2015,Georgia,SEC,9,,-26,Very Overrated
2015,Georgia Tech,ACC,16,,-19,Overrated
2015,Houston,American,,8,27,Very Underrated
2015,Iowa,Big Ten,,9,26,Very Underrated
2015,LSU,SEC,14,16,-2,Properly Rated
2015,Michigan,Big Ten,,12,23,Very Underrated
2015,Michigan State,Big Ten,5,6,-1,Properly Rated
2015,Missouri,SEC,24,,-11,Overrated
2015,Navy,American,,18,17,Underrated
2015,North Carolina,ACC,,15,20,Underrated
2015,Northwestern,Big Ten,,23,12,Underrated
2015,Notre Dame,Independent,11,11,0,Properly Rated
2015,Ohio State,Big Ten,1,4,-3,Properly Rated
2015,Oklahoma,Big 12,19,5,14,Underrated
2015,Oklahoma State,Big 12,,20,15,Underrated
2015,Ole Miss,SEC,17,10,7,Underrated
2015,Oregon,Pac-12,7,19,-12,Overrated
2015,Stanford,Pac-12,21,3,18,Underrated
2015,TCU,Big 12,2,7,-5,Properly Rated
2015,Tennessee,SEC,25,22,3,Properly Rated
2015,UCLA,Pac-12,13,,-22,Very Overrated
2015,USC,Pac-12,8,,-27,Very Overrated
2015,Utah,Pac-12,,17,18,Underrated
2015,Western Kentucky,Conference USA,,24,11,Underrated
2015,Wisconsin,Big Ten,20,21,-1,Properly Rated
2016,Alabama,SEC,1,2,-1,Properly Rated
2016,Auburn,SEC,,24,11,Underrated
2016,Baylor,Big 12,23,,-12,Overrated
2016,Clemson,ACC,2,1,1,Properly Rated
2016,Colorado,Pac-12,,17,18,Underrated
2016,Florida,SEC,25,14,11,Underrated
2016,Florida State,ACC,4,8,-4,Properly Rated
2016,Georgia,SEC,18,,-17,Overrated
2016,Houston,American,15,,-20,Overrated
2016,Iowa,Big Ten,17,,-18,Overrated
2016,LSU,SEC,5,13,-8,Overrated
2016,Louisville,ACC,19,21,-2,Properly Rated
2016,Miami (FL),ACC,,20,15,Underrated
2016,Michigan,Big Ten,7,10,-3,Properly Rated
2016,Michigan State,Big Ten,12,,-23,Very Overrated
2016,North Carolina,ACC,22,,-13,Overrated
2016,Notre Dame,Independent,10,,-25,Very Overrated
2016,Ohio State,Big Ten,6,6,0,Properly Rated
2016,Oklahoma,Big 12,3,5,-2,Properly Rated
2016,Oklahoma State,Big 12,21,11,10,Underrated
2016,Ole Miss,SEC,11,,-24,Very Overrated
2016,Oregon,Pac-12,24,,-11,Overrated
2016,Penn State,Big Ten,,7,28,Very Underrated
2016,San Diego State,Mountain West,,25,10,Underrated
2016,South Florida,American,,19,16,Underrated
2016,Stanford,Pac-12,8,12,-4,Properly Rated
2016,TCU,Big 12,13,,-22,Very Overrated
2016,Tennessee,SEC,9,22,-13,Overrated
2016,UCLA,Pac-12,16,,-19,Overrated
2016,USC,Pac-12,20,3,17,Underrated
2016,Utah,Pac-12,,23,12,Underrated
2016,Virginia Tech,ACC,,16,19,Underrated
2016,Washington,Pac-12,14,4,10,Underrated
2016,West Virginia,Big 12,,18,17,Underrated
2016,Western Michigan,MAC,,15,20,Underrated
2016,Wisconsin,Big Ten,,9,26,Very Underrated
2017,Alabama,SEC,1,1,0,Properly Rated
2017,Auburn,SEC,12,10,2,Properly Rated
2017,Boise State,Mountain West,,22,13,Underrated
2017,Clemson,ACC,5,4,1,Properly Rated
2017,Florida,SEC,17,,-18,Overrated
2017,Florida State,ACC,3,,-32,Very Overrated
2017,Georgia,SEC,15,2,13,Underrated
2017,Kansas State,Big 12,20,,-15,Overrated
2017,LSU,SEC,13,18,-5,Properly Rated
2017,Louisville,ACC,16,,-19,Overrated
