Season,Week,Rank,Team
2014,Preseason,1,Florida State
2014,Preseason,2,Alabama
2014,Preseason,3,Oregon
2014,Preseason,4,Oklahoma
2014,Preseason,5,Ohio State
2014,Preseason,6,Auburn
2014,Preseason,7,UCLA
2014,Preseason,8,Michigan State
2014,Preseason,9,South Carolina
2014,Preseason,10,Baylor
2014,Preseason,11,Stanford
2014,Preseason,12,Georgia
2014,Preseason,13,LSU
2014,Preseason,14,Wisconsin
2014,Preseason,15,USC
2014,Preseason,16,Clemson
2014,Preseason,17,Notre Dame
2014,Preseason,18,Ole Miss
2014,Preseason,19,Arizona State
2014,Preseason,20,Kansas State
2014,Preseason,21,Texas A&M
2014,Preseason,22,Nebraska
2014,Preseason,23,North Carolina
2014,Preseason,24,Missouri
2014,Preseason,25,Washington
2014,Postseason,1,Ohio State
2014,Postseason,2,Oregon
2014,Postseason,3,TCU
2014,Postseason,4,Alabama
2014,Postseason,5,Florida State
2014,Postseason,6,Michigan State
2014,Postseason,7,Baylor
2014,Postseason,8,Georgia Tech
2014,Postseason,9,Georgia
2014,Postseason,10,UCLA
2014,Postseason,11,Mississippi State
2014,Postseason,12,Arizona State
2014,Postseason,13,Wisconsin
2014,Postseason,14,Missouri
2014,Postseason,15,Clemson
2014,Postseason,16,Boise State
2014,Postseason,17,Ole Miss
2014,Postseason,18,Kansas State
2014,Postseason,19,Arizona
2014,Postseason,20,USC
2014,Postseason,21,Utah
2014,Postseason,22,Auburn
2014,Postseason,23,Marshall
2014,Postseason,24,Louisville
2014,Postseason,25,Memphis
2015,Preseason,1,Ohio State
2015,Preseason,2,TCU
2015,Preseason,3,Alabama
2015,Preseason,4,Baylor
2015,Preseason,5,Michigan State
2015,Preseason,6,Auburn
2015,Preseason,7,Oregon
2015,Preseason,8,USC
2015,Preseason,9,Georgia
2015,Preseason,10,Florida State
2015,Preseason,11,Notre Dame
2015,Preseason,12,Clemson
2015,Preseason,13,UCLA
2015,Preseason,14,LSU
2015,Preseason,15,Arizona State
2015,Preseason,16,Georgia Tech
2015,Preseason,17,Ole Miss
2015,Preseason,18,Arkansas
2015,Preseason,19,Oklahoma
2015,Preseason,20,Wisconsin
2015,Preseason,21,Stanford
2015,Preseason,22,Arizona
2015,Preseason,23,Boise State
2015,Preseason,24,Missouri
2015,Preseason,25,Tennessee
2015,Postseason,1,Alabama
2015,Postseason,2,Clemson
2015,Postseason,3,Stanford
2015,Postseason,4,Ohio State
2015,Postseason,5,Oklahoma
2015,Postseason,6,Michigan State
2015,Postseason,7,TCU
2015,Postseason,8,Houston
2015,Postseason,9,Iowa
2015,Postseason,10,Ole Miss
2015,Postseason,11,Notre Dame
2015,Postseason,12,Michigan
2015,Postseason,13,Baylor
2015,Postseason,14,Florida State
2015,Postseason,15,North Carolina
2015,Postseason,16,LSU
2015,Postseason,17,Utah
2015,Postseason,18,Navy
2015,Postseason,19,Oregon
2015,Postseason,20,Oklahoma State
2015,Postseason,21,Wisconsin
2015,Postseason,22,Tennessee
2015,Postseason,23,Northwestern
2015,Postseason,24,Western Kentucky
2015,Postseason,25,Florida
2016,Preseason,1,Alabama
2016,Preseason,2,Clemson
2016,Preseason,3,Oklahoma
2016,Preseason,4,Florida State
2016,Preseason,5,LSU
2016,Preseason,6,Ohio State
2016,Preseason,7,Michigan
2016,Preseason,8,Stanford
2016,Preseason,9,Tennessee
2016,Preseason,10,Notre Dame
2016,Preseason,11,Ole Miss
2016,Preseason,12,Michigan State
2016,Preseason,13,TCU
2016,Preseason,14,Washington
2016,Preseason,15,Houston
2016,Preseason,16,UCLA
2016,Preseason,17,Iowa
2016,Preseason,18,Georgia
2016,Preseason,19,Louisville
2016,Preseason,20,USC
2016,Preseason,21,Oklahoma State
2016,Preseason,22,North Carolina
2016,Preseason,23,Baylor
2016,Preseason,24,Oregon
2016,Preseason,25,Florida
2016,Postseason,1,Clemson
2016,Postseason,2,Alabama
2016,Postseason,3,USC
2016,Postseason,4,Washington
2016,Postseason,5,Oklahoma
2016,Postseason,6,Ohio State
2016,Postseason,7,Penn State
2016,Postseason,8,Florida State
2016,Postseason,9,Wisconsin
2016,Postseason,10,Michigan
2016,Postseason,11,Oklahoma State
2016,Postseason,12,Stanford
2016,Postseason,13,LSU
2016,Postseason,14,Florida
2016,Postseason,15,Western Michigan
2016,Postseason,16,Virginia Tech
2016,Postseason,17,Colorado
2016,Postseason,18,West Virginia
2016,Postseason,19,South Florida
2016,Postseason,20,Miami (FL)
2016,Postseason,21,Louisville
2016,Postseason,22,Tennessee
2016,Postseason,23,Utah
2016,Postseason,24,Auburn
2016,Postseason,25,San Diego State
2017,Preseason,1,Alabama
2017,Preseason,2,Ohio State
2017,Preseason,3,Florida State
2017,Preseason,4,USC
2017,Preseason,5,Clemson
2017,Preseason,6,Penn State
2017,Preseason,7,Oklahoma
2017,Preseason,8,Washington
2017,Preseason,9,Wisconsin
2017,Preseason,10,Oklahoma State
2017,Preseason,11,Michigan
2017,Preseason,12,Auburn
2017,Preseason,13,LSU
2017,Preseason,14,Stanford
2017,Preseason,15,Georgia
2017,Preseason,16,Louisville
2017,Preseason,17,Florida
2017,Preseason,18,Miami (FL)
2017,Preseason,19,South Florida
2017,Preseason,20,Kansas State
2017,Preseason,21,Virginia Tech
2017,Preseason,22,West Virginia
2017,Preseason,23,Texas
2017,Preseason,24,Washington State
2017,Preseason,25,Tennessee
2017,Postseason,1,Alabama
2017,Postseason,2,Georgia
2017,Postseason,3,Oklahoma
2017,Postseason,4,Clemson
2017,Postseason,5,Ohio State
2017,Postseason,6,UCF
2017,Postseason,7,Wisconsin
2017,Postseason,8,Penn State
2017,Postseason,9,TCU
2017,Postseason,10,Auburn
2017,Postseason,11,Notre Dame
2017,Postseason,12,USC
2017,Postseason,13,Miami (FL)
2017,Postseason,14,Oklahoma State
2017,Postseason,15,Michigan State
2017,Postseason,16,Washington
2017,Postseason,17,Northwestern
2017,Postseason,18,LSU
2017,Postseason,19,Mississippi State
