team,season,conference,flag
Air Force,2014,Mountain West,
Air Force,2015,Mountain West,
Air Force,2016,Mountain West,
Air Force,2017,Mountain West,
Air Force,2018,Mountain West,
Air Force,2019,Mountain West,
Air Force,2020,Mountain West,
Air Force,2021,Mountain West,
Air Force,2022,Mountain West,
Air Force,2023,Mountain West,
Air Force,2024,Mountain West,
Air Force,2025,Mountain West,
Alabama,2014,SEC,
Alabama,2015,SEC,
Alabama,2016,SEC,
Alabama,2017,SEC,
Alabama,2018,SEC,
Alabama,2019,SEC,
Alabama,2020,SEC,
Alabama,2021,SEC,
Alabama,2022,SEC,
Alabama,2023,SEC,
Alabama,2024,SEC,
Alabama,2025,SEC,
Appalachian State,2014,Sun Belt,
Appalachian State,2015,Sun Belt,
Appalachian State,2016,Sun Belt,
Appalachian State,2017,Sun Belt,
Appalachian State,2018,Sun Belt,
Appalachian State,2019,Sun Belt,
Appalachian State,2020,Sun Belt,
Appalachian State,2021,Sun Belt,
Appalachian State,2022,Sun Belt,
Appalachian State,2023,Sun Belt,
Appalachian State,2024,Sun Belt,
Appalachian State,2025,Sun Belt,
Arizona,2014,Pac-12,
Arizona,2015,Pac-12,
Arizona,2016,Pac-12,
Arizona,2017,Pac-12,
Arizona,2018,Pac-12,
Arizona,2019,Pac-12,
Arizona,2020,Pac-12,
Arizona,2021,Pac-12,
Arizona,2022,Pac-12,
Arizona,2023,Pac-12,
Arizona,2024,Big 12,
Arizona,2025,Big 12,
Arizona State,2014,Pac-12,
Arizona State,2015,Pac-12,
Arizona State,2016,Pac-12,
Arizona State,2017,Pac-12,
Arizona State,2018,Pac-12,
Arizona State,2019,Pac-12,
Arizona State,2020,Pac-12,
Arizona State,2021,Pac-12,
Arizona State,2022,Pac-12,
Arizona State,2023,Pac-12,
Arizona State,2024,Big 12,
Arizona State,2025,Big 12,
Arkansas,2014,SEC,
Arkansas,2015,SEC,
Arkansas,2016,SEC,
Arkansas,2017,SEC,
Arkansas,2018,SEC,
Arkansas,2019,SEC,
Arkansas,2020,SEC,
Arkansas,2021,SEC,
Arkansas,2022,SEC,
Arkansas,2023,SEC,
Arkansas,2024,SEC,
Arkansas,2025,SEC,
Army,2014,Independent,
Army,2015,Independent,
Army,2016,Independent,
Army,2017,Independent,
Army,2018,Independent,
Army,2019,Independent,
Army,2020,Independent,
Army,2021,Independent,
Army,2022,Independent,
Army,2023,Independent,
Army,2024,American,
Army,2025,American,
Auburn,2014,SEC,
Auburn,2015,SEC,
Auburn,2016,SEC,
Auburn,2017,SEC,
Auburn,2018,SEC,
Auburn,2019,SEC,
Auburn,2020,SEC,
Auburn,2021,SEC,
Auburn,2022,SEC,
Auburn,2023,SEC,
Auburn,2024,SEC,
Auburn,2025,SEC,
BYU,2014,Independent,
BYU,2015,Independent,
BYU,2016,Independent,
BYU,2017,Independent,
BYU,2018,Independent,
BYU,2019,Independent,
BYU,2020,Independent,
BYU,2021,Independent,
BYU,2022,Independent,
BYU,2023,Big 12,
BYU,2024,Big 12,
BYU,2025,Big 12,
Ball State,2014,MAC,
Ball State,2015,MAC,
Ball State,2016,MAC,
Ball State,2017,MAC,
Ball State,2018,MAC,
Ball State,2019,MAC,
Ball State,2020,MAC,
Ball State,2021,MAC,
Ball State,2022,MAC,
Ball State,2023,MAC,
Ball State,2024,MAC,
Ball State,2025,MAC,
Baylor,2014,Big 12,
Baylor,2015,Big 12,
Baylor,2016,Big 12,
Baylor,2017,Big 12,
Baylor,2018,Big 12,
Baylor,2019,Big 12,
Baylor,2020,Big 12,
Baylor,2021,Big 12,
Baylor,2022,Big 12,
Baylor,2023,Big 12,
Baylor,2024,Big 12,
Baylor,2025,Big 12,
Boise State,2014,Mountain West,
Boise State,2015,Mountain West,
Boise State,2016,Mountain West,
Boise State,2017,Mountain West,
Boise State,2018,Mountain West,
Boise State,2019,Mountain West,
Boise State,2020,Mountain West,
Boise State,2021,Mountain West,
Boise State,2022,Mountain West,
Boise State,2023,Mountain West,
Boise State,2024,Mountain West,
Boise State,2025,Mountain West,
Buffalo,2014,MAC,
Buffalo,2015,MAC,
Buffalo,2016,MAC,
Buffalo,2017,MAC,
Buffalo,2018,MAC,
Buffalo,2019,MAC,
Buffalo,2020,MAC,
Buffalo,2021,MAC,
Buffalo,2022,MAC,
Buffalo,2023,MAC,
Buffalo,2024,MAC,
Buffalo,2025,MAC,
Cincinnati,2014,American,
Cincinnati,2015,American,
Cincinnati,2016,American,
Cincinnati,2017,American,
Cincinnati,2018,American,
Cincinnati,2019,American,
Cincinnati,2020,American,
Cincinnati,2021,American,
Cincinnati,2022,American,
Cincinnati,2023,Big 12,
Cincinnati,2024,Big 12,
Cincinnati,2025,Big 12,
Clemson,2014,ACC,
Clemson,2015,ACC,
Clemson,2016,ACC,
Clemson,2017,ACC,
Clemson,2018,ACC,
Clemson,2019,ACC,
Clemson,2020,ACC,
Clemson,2021,ACC,
Clemson,2022,ACC,
Clemson,2023,ACC,
Clemson,2024,ACC,
Clemson,2025,ACC,
Coastal Carolina,2014,FCS/Big South,verify exact transition year
Coastal Carolina,2015,FCS/Big South,verify exact transition year
